x,y,z
1.571517,-0.275868,-4.603562
1.443449,0.221760,-4.760081
1.567739,-0.285237,-4.634826
1.764713,-0.259631,-4.631621
2.146662,-0.508814,-4.631986
-0.438934,-0.062449,3.254993
1.969066,-1.421928,-7.163781
0.468517,0.187264,-4.894358
0.700015,-1.656565,-8.564006
0.890521,-2.465112,-11.092848
-0.172924,0.468476,-10.028565
0.656006,0.178232,-4.855175
0.142862,0.105276,-2.213458
0.452233,-0.860961,-4.857293
1.678518,-1.789958,-8.622476
0.490773,-0.819043,-4.882922
0.924887,0.161103,-4.602973
1.816323,-1.897797,-7.894491
0.167872,0.107779,-2.345464
0.127204,0.106835,-2.251067
0.173660,0.104358,-2.298314
0.174748,0.106061,-2.296964
0.126522,0.105607,-2.209379
0.126703,0.105505,-2.207369
0.127138,0.105861,-2.207749
0.096764,0.106145,-2.206744
-0.749530,-0.245078,-4.826642
0.099672,0.106437,-2.208662
0.044271,0.108786,-2.207078
0.183678,0.101828,-2.230742
0.099051,0.106238,-2.207712
0.103151,0.104950,-2.202561
0.065301,0.107716,-2.207875
0.064960,0.107774,-2.207297
0.043352,0.108591,-2.208158
0.043773,0.108615,-2.207274
0.043864,0.108789,-2.207864
0.049354,0.108147,-2.206800
0.022699,0.108416,-2.202865
0.065169,0.107191,-2.208704
-2.791274,-0.461406,-0.903280
-2.943691,0.119492,-0.834959
-3.275104,-0.521903,-0.725956
-0.716088,-0.319581,-1.709281
-0.709113,-0.142912,-1.638125
-0.798673,-0.617766,-1.714982
1.705675,-1.341680,-6.020730
-0.735483,0.187010,-4.624232
1.732231,-1.252874,-6.424607
-0.242221,0.199674,-5.789093
-0.297315,-1.639714,-8.217082
1.325857,0.153400,-4.776715
1.785870,-1.074792,-6.299866
0.140489,0.103925,-2.205451
0.081563,0.104242,-2.080204
0.705744,0.324525,-4.651993
-0.277285,-0.899589,-5.834772
1.806261,-1.274196,-7.268237
0.829322,-2.388792,-11.871798
0.711847,0.323247,-4.739206
1.365719,-0.944275,-5.835783
0.064697,0.106278,-2.201793
