frame_id,x,y,z,yaw
1266,8.94818,-0.164591,-4.23176,0.115932
1269,8.99224,-0.165923,-4.20387,0.0987963
1263,8.89869,-0.162371,-4.25925,0.146831
1272,9.03841,-0.167818,-4.16946,0.0783013
1275,9.07775,-0.170288,-4.13642,0.0625213
1273,9.04989,-0.168537,-4.16051,0.0749083
1270,9.00918,-0.166528,-4.19177,0.0893754
1276,9.0927,-0.17132,-4.12306,0.0638173
1279,9.13269,-0.174146,-4.0822,0.0501797
1277,9.10777,-0.172469,-4.10813,0.0585449
1278,9.11807,-0.173105,-4.09757,0.0537107
1285,9.20327,-0.180311,-3.99391,0.0358294
1283,9.18002,-0.177462,-4.02658,0.0435084
1281,9.15622,-0.175867,-4.05606,0.0497418
1286,9.21228,-0.181135,-3.98132,0.0336682
1299,9.31532,-0.194669,-3.78774,0.00945492
1295,9.2751,-0.189099,-3.87405,0.0222478
1291,9.25356,-0.186931,-3.91686,0.025589
1305,9.33529,-0.197421,-3.71132,0.00827304
1303,9.32854,-0.196485,-3.73844,0.00895109
1298,9.30064,-0.19353,-3.80256,0.0122092
1301,9.32288,-0.195958,-3.76193,0.0103299
1304,9.33235,-0.197404,-3.72392,0.00799107
1320,9.35491,-0.202994,-3.50891,0.00203893
1315,9.35295,-0.20126,-3.57667,0.0013649
1316,9.35427,-0.20147,-3.56031,0.00129752
1318,9.35459,-0.202234,-3.53689,0.00196487
1313,9.35124,-0.200374,-3.5999,0.00157878
1326,9.34895,-0.205734,-3.42829,-0.00170222
1330,9.34135,-0.207903,-3.37839,-0.00308142
1328,9.34544,-0.207141,-3.40255,-0.000927305
1323,9.35272,-0.204409,-3.46847,-3.43267e-05
1325,9.34995,-0.205482,-3.44033,-0.00144545
